File Name, Minimum, Maximum, Mean, Standard Deviation
SVF_1.tif.aux.xml, 0.81088721752167, 1, 0.99056280865272, 0.013514447558945
SVF_2.tif.aux.xml, 0.80007404088974, 1, 0.99255744116158, 0.01072220448444
SVF_3.tif.aux.xml, 0.73134982585907, 1, 0.99186461498938, 0.012659908243932
SVF_4.tif.aux.xml, 0.74595445394516, 1, 0.98947033129717, 0.016454067019627
SVF_5.tif.aux.xml, 0.78160095214844, 1, 0.99267993056938, 0.011514396477052
SVF_6.tif.aux.xml, 0.73988926410675, 1, 0.99118518859482, 0.014477196117477
SVF_7.tif.aux.xml, 0.77687966823578, 1, 0.99232374025432, 0.011474491442512
SVF_8.tif.aux.xml, 0.65675032138824, 1, 0.99394885360828, 0.010663637459206
SVF_9.tif.aux.xml, 0.60185271501541, 1, 0.99600163565493, 0.010053543406354
SVF_10.tif.aux.xml, 0.72100651264191, 1, 0.99307243441343, 0.012716867872861
SVF_11.tif.aux.xml, 0.72849231958389, 1, 0.99491147953041, 0.0093063662214428
SVF_12.tif.aux.xml, 0.84430831670761, 1, 0.99612745801674, 0.0072667066543109
SVF_13.tif.aux.xml, 0.75581336021423, 1, 0.99730551592871, 0.0054568139852611
SVF_14.tif.aux.xml, 0.83952307701111, 1, 0.99423132612672, 0.0089517028004568
SVF_15.tif.aux.xml, 0.80244827270508, 1, 0.99398491043928, 0.010207523436725
SVF_16.tif.aux.xml, 0.85311394929886, 1, 0.9963749723537, 0.0065557914597322
SVF_17.tif.aux.xml, 0.71189147233963, 1, 0.99423634764452, 0.00984170018995
SVF_18.tif.aux.xml, 0.79937309026718, 1, 0.99538352042254, 0.0080192077234928
SVF_19.tif.aux.xml, 0.73541367053986, 1, 0.99446708621133, 0.008741963391438
SVF_20.tif.aux.xml, 0.86842030286789, 1, 0.99752123951981, 0.0044602813477623
SVF_21.tif.aux.xml, 0.86401128768921, 1, 0.99797604778688, 0.0040223240911997
